Project Input Code,Project Input Text,Scope Item Code,Delivery Method Code,Answer Type,Unit,Required,Blocks Pricing if Missing,Conditional On Summary,Active
PI-PROVPOT-BRK,Is hard surface breakout required?,SI-PROV-POT,DM-PROV-POT,yes/no,,True,False,none,True
PI-PROVPOT-TYP,What is the target service type?,SI-PROV-POT,DM-PROV-POT,choice,,True,False,none,True
PI-PROVPOT-DEP,What is the target depth band?,SI-PROV-POT,DM-PROV-POT,choice,,True,True,none,True
PI-PROVPOT-TC,Is traffic or pedestrian control required?,SI-PROV-POT,DM-PROV-POT,yes/no,,True,False,none,True
PI-PROVSLOT-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,True,True,none,True
PI-PROVSLOT-WAT,Is abnormal water present or likely?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,True,True,none,True
PI-PROVSLOT-W15,Does water exceed the 15 percent rule?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,False,True,if abnormal water present,True
PI-PROVSLOT-RIN,Is local reinstatement included now?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,True,False,none,True
PI-PROVSLOT-CNT,How many proving locations are required?,SI-PROV-SLOT,DM-PROV-SLOT,whole number,count,True,True,none,True
PI-PROVSLOT-SURF,What surface are you proving through?,SI-PROV-SLOT,DM-PROV-SLOT,choice,,True,True,none,True
PI-PROVSLOT-BRK,Is hard surface breakout required?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,True,False,none,True
PI-PROVSLOT-TYP,What is the target service type?,SI-PROV-SLOT,DM-PROV-SLOT,choice,,True,False,none,True
PI-PROVSLOT-DEP,What is the target depth band?,SI-PROV-SLOT,DM-PROV-SLOT,choice,,True,True,none,True
PI-PROVSLOT-TC,Is traffic or pedestrian control required?,SI-PROV-SLOT,DM-PROV-SLOT,yes/no,,True,False,none,True
PI-PROVBREX-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,True,True,none,True
PI-PROVBREX-WAT,Is abnormal water present or likely?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,True,True,none,True
PI-PROVBREX-W15,Does water exceed the 15 percent rule?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,False,True,if abnormal water present,True
PI-PROVBREX-RIN,Is local reinstatement included now?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,True,False,none,True
PI-PROVBREX-CNT,How many proving locations are required?,SI-PROV-BREXP,DM-PROV-BREXP,whole number,count,True,True,none,True
PI-PROVBREX-SURF,What surface are you proving through?,SI-PROV-BREXP,DM-PROV-BREXP,choice,,True,True,none,True
PI-PROVBREX-BRK,Is hard surface breakout required?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,True,False,none,True
PI-PROVBREX-TYP,What is the target service type?,SI-PROV-BREXP,DM-PROV-BREXP,choice,,True,False,none,True
PI-PROVBREX-DEP,What is the target depth band?,SI-PROV-BREXP,DM-PROV-BREXP,choice,,True,True,none,True
PI-PROVBREX-TC,Is traffic or pedestrian control required?,SI-PROV-BREXP,DM-PROV-BREXP,yes/no,,True,False,none,True
PI-PROVPITI-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,True,True,none,True
PI-PROVPITI-WAT,Is abnormal water present or likely?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,True,True,none,True
PI-PROVPITI-W15,Does water exceed the 15 percent rule?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,False,True,if abnormal water present,True
PI-PROVPITI-RIN,Is local reinstatement included now?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,True,False,none,True
PI-PROVPITI-CNT,How many proving locations are required?,SI-PROV-PITINV,DM-PROV-PITINV,whole number,count,True,True,none,True
PI-PROVPITI-SURF,What surface are you proving through?,SI-PROV-PITINV,DM-PROV-PITINV,choice,,True,True,none,True
PI-PROVPITI-BRK,Is hard surface breakout required?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,True,False,none,True
PI-PROVPITI-TYP,What is the target service type?,SI-PROV-PITINV,DM-PROV-PITINV,choice,,True,False,none,True
PI-PROVPITI-DEP,What is the target depth band?,SI-PROV-PITINV,DM-PROV-PITINV,choice,,True,True,none,True
PI-PROVPITI-TC,Is traffic or pedestrian control required?,SI-PROV-PITINV,DM-PROV-PITINV,yes/no,,True,False,none,True
PI-FOUNDSHE-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,True,True,none,True
PI-FOUNDSHE-WAT,Is abnormal water present or likely?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,True,True,none,True
PI-FOUNDSHE-W15,Does water exceed the 15 percent rule?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,False,True,if abnormal water present,True
PI-FOUNDSHE-RIN,Is local reinstatement included now?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,True,False,none,True
PI-FOUNDSHE-QTY,How many piers are required?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,whole number,count,True,True,none,True
PI-FOUNDSHE-DIA,What foundation diameter band applies?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,choice,,True,True,none,True
PI-FOUNDSHE-DEP,What design depth band applies?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,choice,,True,True,none,True
PI-FOUNDSHE-CAG,Is a reinforcement cage required?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,True,False,none,True
PI-FOUNDSHE-TOP,Is top casing required?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,False,False,none,True
PI-FOUNDSHE-FUL,Is full casing required?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,False,False,none,True
PI-FOUNDSHE-PMP,Is pump placement required?,SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,yes/no,,False,False,none,True
PI-FOUNDSOL-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,True,True,none,True
PI-FOUNDSOL-WAT,Is abnormal water present or likely?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,True,True,none,True
PI-FOUNDSOL-W15,Does water exceed the 15 percent rule?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,False,True,if abnormal water present,True
PI-FOUNDSOL-RIN,Is local reinstatement included now?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,True,False,none,True
PI-FOUNDSOL-QTY,How many piers are required?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,whole number,count,True,True,none,True
PI-FOUNDSOL-DIA,What foundation diameter band applies?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,choice,,True,True,none,True
PI-FOUNDSOL-DEP,What design depth band applies?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,choice,,True,True,none,True
PI-FOUNDSOL-CAG,Is a reinforcement cage required?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,True,False,none,True
PI-FOUNDSOL-TOP,Is top casing required?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,False,False,none,True
PI-FOUNDSOL-FUL,Is full casing required?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,False,False,none,True
PI-FOUNDSOL-PMP,Is pump placement required?,SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,yes/no,,False,False,none,True
PI-FOUNDFEN-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,True,True,none,True
PI-FOUNDFEN-WAT,Is abnormal water present or likely?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,True,True,none,True
PI-FOUNDFEN-W15,Does water exceed the 15 percent rule?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,False,True,if abnormal water present,True
PI-FOUNDFEN-RIN,Is local reinstatement included now?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,True,False,none,True
PI-FOUNDFEN-QTY,How many piers are required?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,whole number,count,True,True,none,True
PI-FOUNDFEN-DIA,What foundation diameter band applies?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,choice,,True,True,none,True
PI-FOUNDFEN-DEP,What design depth band applies?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,choice,,True,True,none,True
PI-FOUNDFEN-CAG,Is a reinforcement cage required?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,True,False,none,True
PI-FOUNDFEN-TOP,Is top casing required?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,False,False,none,True
PI-FOUNDFEN-FUL,Is full casing required?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,False,False,none,True
PI-FOUNDFEN-PMP,Is pump placement required?,SI-FOUND-FENCE,DM-FOUND-FENCE-STD,yes/no,,False,False,none,True
PI-FOUNDGEN-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,True,True,none,True
PI-FOUNDGEN-WAT,Is abnormal water present or likely?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,True,True,none,True
PI-FOUNDGEN-W15,Does water exceed the 15 percent rule?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,False,True,if abnormal water present,True
PI-FOUNDGEN-RIN,Is local reinstatement included now?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,True,False,none,True
PI-FOUNDGEN-QTY,How many piers are required?,SI-FOUND-GEN,DM-FOUND-GEN-STD,whole number,count,True,True,none,True
PI-FOUNDGEN-DIA,What foundation diameter band applies?,SI-FOUND-GEN,DM-FOUND-GEN-STD,choice,,True,True,none,True
PI-FOUNDGEN-DEP,What design depth band applies?,SI-FOUND-GEN,DM-FOUND-GEN-STD,choice,,True,True,none,True
PI-FOUNDGEN-CAG,Is a reinforcement cage required?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,True,False,none,True
PI-FOUNDGEN-TOP,Is top casing required?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,False,False,none,True
PI-FOUNDGEN-FUL,Is full casing required?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,False,False,none,True
PI-FOUNDGEN-PMP,Is pump placement required?,SI-FOUND-GEN,DM-FOUND-GEN-STD,yes/no,,False,False,none,True
PI-FOUNDSLA-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,True,True,none,True
PI-FOUNDSLA-WAT,Is abnormal water present or likely?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,True,True,none,True
PI-FOUNDSLA-W15,Does water exceed the 15 percent rule?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,False,True,if abnormal water present,True
PI-FOUNDSLA-RIN,Is local reinstatement included now?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,True,False,none,True
PI-FOUNDSLA-QTY,How many piers are required?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,whole number,count,True,True,none,True
PI-FOUNDSLA-DIA,What foundation diameter band applies?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,choice,,True,True,none,True
PI-FOUNDSLA-DEP,What design depth band applies?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,choice,,True,True,none,True
PI-FOUNDSLA-CAG,Is a reinforcement cage required?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,True,False,none,True
PI-FOUNDSLA-TOP,Is top casing required?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,False,False,none,True
PI-FOUNDSLA-FUL,Is full casing required?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,False,False,none,True
PI-FOUNDSLA-PMP,Is pump placement required?,SI-FOUND-SLABPIER,DM-FOUND-SLABPIER-STD,yes/no,,False,False,none,True
PI-SLABGEN-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,True,True,none,True
PI-SLABGEN-WAT,Is abnormal water present or likely?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,True,True,none,True
PI-SLABGEN-W15,Does water exceed the 15 percent rule?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,False,True,if abnormal water present,True
PI-SLABGEN-RIN,Is local reinstatement included now?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,True,False,none,True
PI-SLABGEN-AREA,What is the footprint area?,SI-SLAB-GEN,DM-SLAB-GEN-STD,decimal,m2,True,True,none,True
PI-SLABGEN-DEP,What is the box-out depth?,SI-SLAB-GEN,DM-SLAB-GEN-STD,decimal,mm,True,True,none,True
PI-SLABGEN-SUB,What is the base thickness?,SI-SLAB-GEN,DM-SLAB-GEN-STD,decimal,mm,True,True,none,True
PI-SLABGEN-CON,What is the concrete thickness?,SI-SLAB-GEN,DM-SLAB-GEN-STD,decimal,mm,True,True,none,True
PI-SLABGEN-REI,Is reinforcement required?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,True,False,none,True
PI-SLABGEN-CST,Are cast-ins or anchor templates required?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,False,False,none,True
PI-SLABGEN-PMP,Is pump placement required?,SI-SLAB-GEN,DM-SLAB-GEN-STD,yes/no,,False,False,none,True
PI-SLABPLIN-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,True,True,none,True
PI-SLABPLIN-WAT,Is abnormal water present or likely?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,True,True,none,True
PI-SLABPLIN-W15,Does water exceed the 15 percent rule?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,False,True,if abnormal water present,True
PI-SLABPLIN-RIN,Is local reinstatement included now?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,True,False,none,True
PI-SLABPLIN-AREA,What is the footprint area?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,decimal,m2,True,True,none,True
PI-SLABPLIN-DEP,What is the box-out depth?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,decimal,mm,True,True,none,True
PI-SLABPLIN-SUB,What is the base thickness?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,decimal,mm,True,True,none,True
PI-SLABPLIN-CON,What is the concrete thickness?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,decimal,mm,True,True,none,True
PI-SLABPLIN-REI,Is reinforcement required?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,True,False,none,True
PI-SLABPLIN-CST,Are cast-ins or anchor templates required?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,False,False,none,True
PI-SLABPLIN-PMP,Is pump placement required?,SI-SLAB-PLINTH,DM-SLAB-PLINTH-STD,yes/no,,False,False,none,True
PI-SLABSTEP-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,True,True,none,True
PI-SLABSTEP-WAT,Is abnormal water present or likely?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,True,True,none,True
PI-SLABSTEP-W15,Does water exceed the 15 percent rule?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,False,True,if abnormal water present,True
PI-SLABSTEP-RIN,Is local reinstatement included now?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,True,False,none,True
PI-SLABSTEP-AREA,What is the footprint area?,SI-SLAB-STEP,DM-SLAB-STEP-STD,decimal,m2,True,True,none,True
PI-SLABSTEP-DEP,What is the box-out depth?,SI-SLAB-STEP,DM-SLAB-STEP-STD,decimal,mm,True,True,none,True
PI-SLABSTEP-SUB,What is the base thickness?,SI-SLAB-STEP,DM-SLAB-STEP-STD,decimal,mm,True,True,none,True
PI-SLABSTEP-CON,What is the concrete thickness?,SI-SLAB-STEP,DM-SLAB-STEP-STD,decimal,mm,True,True,none,True
PI-SLABSTEP-REI,Is reinforcement required?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,True,False,none,True
PI-SLABSTEP-CST,Are cast-ins or anchor templates required?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,False,False,none,True
PI-SLABSTEP-PMP,Is pump placement required?,SI-SLAB-STEP,DM-SLAB-STEP-STD,yes/no,,False,False,none,True
PI-SLABEDGE-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,True,True,none,True
PI-SLABEDGE-WAT,Is abnormal water present or likely?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,True,True,none,True
PI-SLABEDGE-W15,Does water exceed the 15 percent rule?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,False,True,if abnormal water present,True
PI-SLABEDGE-RIN,Is local reinstatement included now?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,True,False,none,True
PI-SLABEDGE-AREA,What is the footprint area?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,decimal,m2,True,True,none,True
PI-SLABEDGE-DEP,What is the box-out depth?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,decimal,mm,True,True,none,True
PI-SLABEDGE-SUB,What is the base thickness?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,decimal,mm,True,True,none,True
PI-SLABEDGE-CON,What is the concrete thickness?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,decimal,mm,True,True,none,True
PI-SLABEDGE-REI,Is reinforcement required?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,True,False,none,True
PI-SLABEDGE-CST,Are cast-ins or anchor templates required?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,False,False,none,True
PI-SLABEDGE-PMP,Is pump placement required?,SI-SLAB-EDGE,DM-SLAB-EDGE-STD,yes/no,,False,False,none,True
PI-EWLOCAL-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,True,True,none,True
PI-EWLOCAL-WAT,Is abnormal water present or likely?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,True,True,none,True
PI-EWLOCAL-W15,Does water exceed the 15 percent rule?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,False,True,if abnormal water present,True
PI-EWLOCAL-RIN,Is local reinstatement included now?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,True,False,none,True
PI-EWLOCAL-QTY,What is the quantity / area / volume?,SI-EW-LOCAL,DM-EW-LOCAL,decimal,m3,True,True,none,True
PI-EWLOCAL-BRK,Is existing surface breakout required?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,True,True,none,True
PI-EWLOCAL-MAT,What is the material class?,SI-EW-LOCAL,DM-EW-LOCAL,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWLOCAL-MST,Is moisture conditioning required?,SI-EW-LOCAL,DM-EW-LOCAL,yes/no,,False,False,none,True
PI-EWBULK-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-BULK,DM-EW-BULK,yes/no,,True,True,none,True
PI-EWBULK-WAT,Is abnormal water present or likely?,SI-EW-BULK,DM-EW-BULK,yes/no,,True,True,none,True
PI-EWBULK-W15,Does water exceed the 15 percent rule?,SI-EW-BULK,DM-EW-BULK,yes/no,,False,True,if abnormal water present,True
PI-EWBULK-RIN,Is local reinstatement included now?,SI-EW-BULK,DM-EW-BULK,yes/no,,True,False,none,True
PI-EWBULK-QTY,What is the quantity / area / volume?,SI-EW-BULK,DM-EW-BULK,decimal,m3,True,True,none,True
PI-EWBULK-BRK,Is existing surface breakout required?,SI-EW-BULK,DM-EW-BULK,yes/no,,True,True,none,True
PI-EWBULK-MAT,What is the material class?,SI-EW-BULK,DM-EW-BULK,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWBULK-MST,Is moisture conditioning required?,SI-EW-BULK,DM-EW-BULK,yes/no,,False,False,none,True
PI-EWSITEFI-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,True,True,none,True
PI-EWSITEFI-WAT,Is abnormal water present or likely?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,True,True,none,True
PI-EWSITEFI-W15,Does water exceed the 15 percent rule?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,False,True,if abnormal water present,True
PI-EWSITEFI-RIN,Is local reinstatement included now?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,True,False,none,True
PI-EWSITEFI-QTY,What is the quantity / area / volume?,SI-EW-SITEFILL,DM-EW-SITEFILL,decimal,m3,True,True,none,True
PI-EWSITEFI-BRK,Is existing surface breakout required?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,True,True,none,True
PI-EWSITEFI-MAT,What is the material class?,SI-EW-SITEFILL,DM-EW-SITEFILL,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWSITEFI-MST,Is moisture conditioning required?,SI-EW-SITEFILL,DM-EW-SITEFILL,yes/no,,False,False,none,True
PI-EWIMPFIL-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,True,True,none,True
PI-EWIMPFIL-WAT,Is abnormal water present or likely?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,True,True,none,True
PI-EWIMPFIL-W15,Does water exceed the 15 percent rule?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,False,True,if abnormal water present,True
PI-EWIMPFIL-RIN,Is local reinstatement included now?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,True,False,none,True
PI-EWIMPFIL-QTY,What is the quantity / area / volume?,SI-EW-IMPFILL,DM-EW-IMPFILL,decimal,m3,True,True,none,True
PI-EWIMPFIL-BRK,Is existing surface breakout required?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,True,True,none,True
PI-EWIMPFIL-MAT,What is the material class?,SI-EW-IMPFILL,DM-EW-IMPFILL,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWIMPFIL-MST,Is moisture conditioning required?,SI-EW-IMPFILL,DM-EW-IMPFILL,yes/no,,False,False,none,True
PI-EWSELFIL-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,True,True,none,True
PI-EWSELFIL-WAT,Is abnormal water present or likely?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,True,True,none,True
PI-EWSELFIL-W15,Does water exceed the 15 percent rule?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,False,True,if abnormal water present,True
PI-EWSELFIL-RIN,Is local reinstatement included now?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,True,False,none,True
PI-EWSELFIL-QTY,What is the quantity / area / volume?,SI-EW-SELFILL,DM-EW-SELFILL,decimal,m3,True,True,none,True
PI-EWSELFIL-BRK,Is existing surface breakout required?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,True,True,none,True
PI-EWSELFIL-MAT,What is the material class?,SI-EW-SELFILL,DM-EW-SELFILL,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWSELFIL-MST,Is moisture conditioning required?,SI-EW-SELFILL,DM-EW-SELFILL,yes/no,,False,False,none,True
PI-EWCRUSHB-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,True,True,none,True
PI-EWCRUSHB-WAT,Is abnormal water present or likely?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,True,True,none,True
PI-EWCRUSHB-W15,Does water exceed the 15 percent rule?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,False,True,if abnormal water present,True
PI-EWCRUSHB-RIN,Is local reinstatement included now?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,True,False,none,True
PI-EWCRUSHB-QTY,What is the quantity / area / volume?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,decimal,m3,True,True,none,True
PI-EWCRUSHB-BRK,Is existing surface breakout required?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,True,True,none,True
PI-EWCRUSHB-MAT,What is the material class?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,choice,,True,True,site-won / imported / select / unsuitable,True
PI-EWCRUSHB-MST,Is moisture conditioning required?,SI-EW-CRUSHBF,DM-EW-CRUSHBF,yes/no,,False,False,none,True
PI-DRAINPVC-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,yes/no,,True,True,none,True
PI-DRAINPVC-WAT,Is abnormal water present or likely?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,yes/no,,True,True,none,True
PI-DRAINPVC-W15,Does water exceed the 15 percent rule?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,yes/no,,False,True,if abnormal water present,True
PI-DRAINPVC-RIN,Is local reinstatement included now?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,yes/no,,True,False,none,True
PI-DRAINPVC-QTY,What is the quantity / length / count?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,decimal,m,True,True,none,True
PI-DRAINPVC-TYP,What pipe or structure type applies?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,choice,,True,True,none,True
PI-DRAINPVC-GRD,What ground variant applies?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,choice,,True,True,soil / shale / rock,True
PI-DRAINPVC-BRK,Is breakout required?,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,yes/no,,True,False,none,True
PI-DRAINRCP-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,yes/no,,True,True,none,True
PI-DRAINRCP-WAT,Is abnormal water present or likely?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,yes/no,,True,True,none,True
PI-DRAINRCP-W15,Does water exceed the 15 percent rule?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,yes/no,,False,True,if abnormal water present,True
PI-DRAINRCP-RIN,Is local reinstatement included now?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,yes/no,,True,False,none,True
PI-DRAINRCP-QTY,What is the quantity / length / count?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,decimal,m,True,True,none,True
PI-DRAINRCP-TYP,What pipe or structure type applies?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,choice,,True,True,none,True
PI-DRAINRCP-GRD,What ground variant applies?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,choice,,True,True,soil / shale / rock,True
PI-DRAINRCP-BRK,Is breakout required?,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,yes/no,,True,False,none,True
PI-DRAINSWA-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,yes/no,,True,True,none,True
PI-DRAINSWA-WAT,Is abnormal water present or likely?,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,yes/no,,True,True,none,True
