Calculated Quantity Code,Calculated Quantity Name,Scope Item Code,Delivery Method Code,Quantity Type,Unit,Formula Summary,Depends On Summary,Active
CQ-EWLOCAL-02,Spoil tonnes,SI-EW-LOCAL,DM-EW-LOCAL,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWLOCAL-03,Truck trips,SI-EW-LOCAL,DM-EW-LOCAL,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWLOCAL-04,Compaction quantity,SI-EW-LOCAL,DM-EW-LOCAL,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWLOCAL-05,Proving required flag,SI-EW-LOCAL,DM-EW-LOCAL,flag,,if assets within 2 m then yes,proximity input,True
CQ-EWBULK-01,Excavation volume,SI-EW-BULK,DM-EW-BULK,quantity,m3,area/length x depth or direct quantity,quantity input,True
CQ-EWBULK-02,Spoil tonnes,SI-EW-BULK,DM-EW-BULK,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWBULK-03,Truck trips,SI-EW-BULK,DM-EW-BULK,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWBULK-04,Compaction quantity,SI-EW-BULK,DM-EW-BULK,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWBULK-05,Proving required flag,SI-EW-BULK,DM-EW-BULK,flag,,if assets within 2 m then yes,proximity input,True
CQ-EWSITEFI-01,Excavation volume,SI-EW-SITEFILL,DM-EW-SITEFILL,quantity,m3,area/length x depth or direct quantity,quantity input,True
CQ-EWSITEFI-02,Spoil tonnes,SI-EW-SITEFILL,DM-EW-SITEFILL,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWSITEFI-03,Truck trips,SI-EW-SITEFILL,DM-EW-SITEFILL,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWSITEFI-04,Compaction quantity,SI-EW-SITEFILL,DM-EW-SITEFILL,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWSITEFI-05,Proving required flag,SI-EW-SITEFILL,DM-EW-SITEFILL,flag,,if assets within 2 m then yes,proximity input,True
CQ-EWIMPFIL-01,Excavation volume,SI-EW-IMPFILL,DM-EW-IMPFILL,quantity,m3,area/length x depth or direct quantity,quantity input,True
CQ-EWIMPFIL-02,Spoil tonnes,SI-EW-IMPFILL,DM-EW-IMPFILL,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWIMPFIL-03,Truck trips,SI-EW-IMPFILL,DM-EW-IMPFILL,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWIMPFIL-04,Compaction quantity,SI-EW-IMPFILL,DM-EW-IMPFILL,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWIMPFIL-05,Proving required flag,SI-EW-IMPFILL,DM-EW-IMPFILL,flag,,if assets within 2 m then yes,proximity input,True
CQ-EWSELFIL-01,Excavation volume,SI-EW-SELFILL,DM-EW-SELFILL,quantity,m3,area/length x depth or direct quantity,quantity input,True
CQ-EWSELFIL-02,Spoil tonnes,SI-EW-SELFILL,DM-EW-SELFILL,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWSELFIL-03,Truck trips,SI-EW-SELFILL,DM-EW-SELFILL,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWSELFIL-04,Compaction quantity,SI-EW-SELFILL,DM-EW-SELFILL,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWSELFIL-05,Proving required flag,SI-EW-SELFILL,DM-EW-SELFILL,flag,,if assets within 2 m then yes,proximity input,True
CQ-EWCRUSHB-01,Excavation volume,SI-EW-CRUSHBF,DM-EW-CRUSHBF,quantity,m3,area/length x depth or direct quantity,quantity input,True
CQ-EWCRUSHB-02,Spoil tonnes,SI-EW-CRUSHBF,DM-EW-CRUSHBF,quantity,t,spoil volume x density,spoil volume and density,True
CQ-EWCRUSHB-03,Truck trips,SI-EW-CRUSHBF,DM-EW-CRUSHBF,quantity,count,tonnes divided by payload assumption,spoil tonnes,True
CQ-EWCRUSHB-04,Compaction quantity,SI-EW-CRUSHBF,DM-EW-CRUSHBF,quantity,m3,fill volume / lift logic,quantity input,True
CQ-EWCRUSHB-05,Proving required flag,SI-EW-CRUSHBF,DM-EW-CRUSHBF,flag,,if assets within 2 m then yes,proximity input,True
CQ-DRAINPVC-01,Excavation volume,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINPVC-02,Bedding quantity,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINPVC-03,Main install quantity,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINPVC-04,Backfill quantity,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINPVC-05,Ground variant flag,SI-DRAIN-PVC,DM-DRAIN-PVC-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINRCP-01,Excavation volume,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINRCP-02,Bedding quantity,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINRCP-03,Main install quantity,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINRCP-04,Backfill quantity,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINRCP-05,Ground variant flag,SI-DRAIN-RCP,DM-DRAIN-RCP-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINSWA-01,Excavation volume,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINSWA-02,Bedding quantity,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINSWA-03,Main install quantity,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINSWA-04,Backfill quantity,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINSWA-05,Ground variant flag,SI-DRAIN-SWAL,DM-DRAIN-SWAL-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINPIT-01,Excavation volume,SI-DRAIN-PIT,DM-DRAIN-PIT-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINPIT-02,Bedding quantity,SI-DRAIN-PIT,DM-DRAIN-PIT-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINPIT-03,Main install quantity,SI-DRAIN-PIT,DM-DRAIN-PIT-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINPIT-04,Backfill quantity,SI-DRAIN-PIT,DM-DRAIN-PIT-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINPIT-05,Ground variant flag,SI-DRAIN-PIT,DM-DRAIN-PIT-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINKG-01,Excavation volume,SI-DRAIN-KG,DM-DRAIN-KG-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINKG-02,Bedding quantity,SI-DRAIN-KG,DM-DRAIN-KG-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINKG-03,Main install quantity,SI-DRAIN-KG,DM-DRAIN-KG-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINKG-04,Backfill quantity,SI-DRAIN-KG,DM-DRAIN-KG-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINKG-05,Ground variant flag,SI-DRAIN-KG,DM-DRAIN-KG-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINLKB-01,Excavation volume,SI-DRAIN-LKB,DM-DRAIN-LKB-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINLKB-02,Bedding quantity,SI-DRAIN-LKB,DM-DRAIN-LKB-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINLKB-03,Main install quantity,SI-DRAIN-LKB,DM-DRAIN-LKB-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINLKB-04,Backfill quantity,SI-DRAIN-LKB,DM-DRAIN-LKB-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINLKB-05,Ground variant flag,SI-DRAIN-LKB,DM-DRAIN-LKB-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINXS-01,Excavation volume,SI-DRAIN-XS,DM-DRAIN-XS-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINXS-02,Bedding quantity,SI-DRAIN-XS,DM-DRAIN-XS-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINXS-03,Main install quantity,SI-DRAIN-XS,DM-DRAIN-XS-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINXS-04,Backfill quantity,SI-DRAIN-XS,DM-DRAIN-XS-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINXS-05,Ground variant flag,SI-DRAIN-XS,DM-DRAIN-XS-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINXD-01,Excavation volume,SI-DRAIN-XD,DM-DRAIN-XD-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINXD-02,Bedding quantity,SI-DRAIN-XD,DM-DRAIN-XD-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINXD-03,Main install quantity,SI-DRAIN-XD,DM-DRAIN-XD-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINXD-04,Backfill quantity,SI-DRAIN-XD,DM-DRAIN-XD-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINXD-05,Ground variant flag,SI-DRAIN-XD,DM-DRAIN-XD-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINRWB-01,Excavation volume,SI-DRAIN-RWB,DM-DRAIN-RWB-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINRWB-02,Bedding quantity,SI-DRAIN-RWB,DM-DRAIN-RWB-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINRWB-03,Main install quantity,SI-DRAIN-RWB,DM-DRAIN-RWB-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINRWB-04,Backfill quantity,SI-DRAIN-RWB,DM-DRAIN-RWB-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINRWB-05,Ground variant flag,SI-DRAIN-RWB,DM-DRAIN-RWB-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINRWC-01,Excavation volume,SI-DRAIN-RWC,DM-DRAIN-RWC-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINRWC-02,Bedding quantity,SI-DRAIN-RWC,DM-DRAIN-RWC-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINRWC-03,Main install quantity,SI-DRAIN-RWC,DM-DRAIN-RWC-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINRWC-04,Backfill quantity,SI-DRAIN-RWC,DM-DRAIN-RWC-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINRWC-05,Ground variant flag,SI-DRAIN-RWC,DM-DRAIN-RWC-STD,flag,,direct from project input,soil / shale / rock,True
CQ-DRAINRWT-01,Excavation volume,SI-DRAIN-RWT,DM-DRAIN-RWT-STD,quantity,m3,trench / footing geometry,length / count and depth,True
CQ-DRAINRWT-02,Bedding quantity,SI-DRAIN-RWT,DM-DRAIN-RWT-STD,quantity,m3,geometric bedding quantity,length / count and dimensions,True
CQ-DRAINRWT-03,Main install quantity,SI-DRAIN-RWT,DM-DRAIN-RWT-STD,quantity,unit,direct length / count,quantity input,True
CQ-DRAINRWT-04,Backfill quantity,SI-DRAIN-RWT,DM-DRAIN-RWT-STD,quantity,m3,geometry less bedding and structure volume,dimensions and install quantity,True
CQ-DRAINRWT-05,Ground variant flag,SI-DRAIN-RWT,DM-DRAIN-RWT-STD,flag,,direct from project input,soil / shale / rock,True
CQ-PRELIMSI-01,Charge quantity,SI-PRELIM-SITEVIS,DM-PRELIM-SITEVIS-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMCO-01,Charge quantity,SI-PRELIM-CONSTR,DM-PRELIM-CONSTR-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMSE-01,Charge quantity,SI-PRELIM-SETOUT,DM-PRELIM-SETOUT-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMEC-01,Charge quantity,SI-PRELIM-ECO,DM-PRELIM-ECO-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMDI-01,Charge quantity,SI-PRELIM-DILAP,DM-PRELIM-DILAP-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMIN-01,Charge quantity,SI-PRELIM-INDUCT,DM-PRELIM-INDUCT-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMWA-01,Charge quantity,SI-PRELIM-WASTE,DM-PRELIM-WASTE-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMPW-01,Charge quantity,SI-PRELIM-PWRAUD,DM-PRELIM-PWRAUD-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMSU-01,Charge quantity,SI-PRELIM-SUPER,DM-PRELIM-SUPER-STD,quantity,unit,direct from project input,quantity input,True
CQ-PRELIMEN-01,Charge quantity,SI-PRELIM-ENGFIN,DM-PRELIM-ENGFIN-STD,quantity,unit,direct from project input,quantity input,True
CQ-ENVTC-01,Charge quantity,SI-ENV-TC,DM-ENV-TC-STD,quantity,unit,direct from project input,quantity input,True
CQ-ENVSEDF-01,Charge quantity,SI-ENV-SEDF,DM-ENV-SEDF-STD,quantity,unit,direct from project input,quantity input,True
CQ-ENVTREE-01,Charge quantity,SI-ENV-TREE,DM-ENV-TREE-STD,quantity,unit,direct from project input,quantity input,True
CQ-ENVDUST-01,Charge quantity,SI-ENV-DUST,DM-ENV-DUST-STD,quantity,unit,direct from project input,quantity input,True
CQ-ENVMUD-01,Charge quantity,SI-ENV-MUD,DM-ENV-MUD-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENDEPBH-01,Charge quantity,SI-GEN-DEP-BH,DM-GEN-DEP-BH-METRO,quantity,unit,direct from project input,quantity input,True
CQ-GENDEPBH-02,Fuel variable flag,SI-GEN-DEP-BH,DM-GEN-DEP-BH-METRO,flag,,direct from project input,fuel input,True
CQ-GENDEPBH-01,Charge quantity,SI-GEN-DEP-BH,DM-GEN-DEP-BH-REG,quantity,unit,direct from project input,quantity input,True
CQ-GENDEPBH-02,Fuel variable flag,SI-GEN-DEP-BH,DM-GEN-DEP-BH-REG,flag,,direct from project input,fuel input,True
CQ-GENDEPAH-01,Charge quantity,SI-GEN-DEP-AH,DM-GEN-DEP-AH-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENDEPAH-02,Fuel variable flag,SI-GEN-DEP-AH,DM-GEN-DEP-AH-STD,flag,,direct from project input,fuel input,True
CQ-GENHIRED-01,Charge quantity,SI-GEN-HIRE-DAY,DM-GEN-HIRE-DAY-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENHIRED-02,Fuel variable flag,SI-GEN-HIRE-DAY,DM-GEN-HIRE-DAY-STD,flag,,direct from project input,fuel input,True
CQ-GENHIREW-01,Charge quantity,SI-GEN-HIRE-WK,DM-GEN-HIRE-WK-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENHIREW-02,Fuel variable flag,SI-GEN-HIRE-WK,DM-GEN-HIRE-WK-STD,flag,,direct from project input,fuel input,True
CQ-GENFUEL-01,Charge quantity,SI-GEN-FUEL,DM-GEN-FUEL-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENFUEL-02,Fuel variable flag,SI-GEN-FUEL,DM-GEN-FUEL-STD,flag,,direct from project input,fuel input,True
CQ-GENSWITC-01,Charge quantity,SI-GEN-SWITCH,DM-GEN-SWITCH-STD,quantity,unit,direct from project input,quantity input,True
CQ-GENSWITC-02,Fuel variable flag,SI-GEN-SWITCH,DM-GEN-SWITCH-STD,flag,,direct from project input,fuel input,True
CQ-RAILTRAC-01,Charge quantity,SI-RAIL-TRACK,DM-RAIL-TRACK-STD,quantity,unit,direct from project input,quantity input,True
