functional_cluster,work_category,scope_item,delivery_method,cost_component,unit_normalized,rate_group,candidate_count,candidate_sources,retained_workbook,retained_sheet,retained_row,retained_rate,decision_reason,mapping_confidence
Labour (site preparation),Preliminaries and Controls,Site preparation labour,,Labour,site,Labour,1,AARNet Pricebook.xlsx::AARnet Ratecard::r5 @ 4860.0,AARNet Pricebook.xlsx,AARnet Ratecard,5,4860,single candidate,Inferred
Layback kerb | rock,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r30 @ 332.10526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,30,332.1052631578947,single candidate,Confirmed
Layback kerb | shale,Drainage and Minor Civil Structures,Minor Civil Structure,shale,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r29 @ 288.42105263157896,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,29,288.421052631579,single candidate,Confirmed
Layback kerb | soil,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r28 @ 262.4736842105263,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,28,262.4736842105263,single candidate,Confirmed
Mass concrete in footings,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r93 @ 2085.157894736842,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,93,2085.157894736842,single candidate,Confirmed
ODU plinth,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,each,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r557 @ 2191.052631578947; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r388 @ 1905.2631578947369,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,557,2191.052631578947,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
ODU plinth,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,site,Provisional Sums,4,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r580 @ 5175.0; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r576 @ 4575.789473684211; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r400 @ 4500.0; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r396 @ 3978.947368421053,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,580,5175,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Onsite toilet,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,AARNet Pricebook.xlsx::AARnet Ratecard::r6 @ 2240.0,AARNet Pricebook.xlsx,AARnet Ratecard,6,2240,single candidate,Confirmed
P2 pit gasket lid,Pits,Pit Works,,Pit Install / Supply,each,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r24 @ 232.0,AARNet Pricebook.xlsx,AARnet Ratecard,24,232,single candidate,Inferred
Personnel gate install,Fencing and Access Control,Fencing and Gates,,Fence / Gate,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r64 @ 3460.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,64,3460,single candidate,Confirmed
Pier concrete supply,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r13 @ 214.09,AARNet Pricebook.xlsx,AARnet Ratecard,13,214.09,single candidate,Confirmed
Pier extension footing to direct embedded pole,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r49 @ 1875.0577005405007; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r17 @ 1562.5480837837506; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r17 @ 1562.5480837837506,NBN quote Master .xlsx,Sheet1,49,1875.057700540501,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pipe and sand bedding | unknown | rock,Drainage and Minor Civil Structures,Drainage / Pipe Install,rock,Pipe Install,m,Provisional Sums,4,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r67 @ 396.4473684210526; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r63 @ 377.6842105263158; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r60 @ 360.7368421052631; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r56 @ 230.65,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,67,396.4473684210526,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Pipe and sand bedding | unknown | shale,Drainage and Minor Civil Structures,Drainage / Pipe Install,shale,Pipe Install,m,Provisional Sums,3,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r66 @ 324.4210526315789; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r62 @ 290.5263157894737; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r59 @ 272.3684210526316,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,66,324.4210526315789,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Pipe and sand bedding | unknown | soil,Drainage and Minor Civil Structures,Drainage / Pipe Install,soil,Pipe Install,m,Provisional Sums,3,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r64 @ 308.6842105263158; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r61 @ 278.4210526315789; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r58 @ 254.21052631578945,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,64,308.6842105263158,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Pit install in already excavated trench | p2,Pits,Pit Install in Trench,in-trench,Pit Install,each,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r73 @ 320.496; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r76 @ 267.08; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r76 @ 267.08,NBN quote Master .xlsx,Sheet1,73,320.496,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit install in already excavated trench | p5,Pits,Pit Install in Trench,in-trench,Pit Install,each,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r75 @ 526.9535999999999; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r78 @ 439.128; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r78 @ 417.16800000000006,NBN quote Master .xlsx,Sheet1,75,526.9535999999999,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit install in already excavated trench | p6,Pits,Pit Install in Trench,in-trench,Pit Install,each,Provisional Sums,6,NBN quote Master .xlsx::Sheet1::r78 @ 1515.8472; NBN quote Master .xlsx::Sheet1::r77 @ 1417.2672; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r81 @ 1263.206; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r81 @ 1200.0449999999998; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r80 @ 1181.056; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r80 @ 1122.0,NBN quote Master .xlsx,Sheet1,78,1515.8472,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit lid supply/replace,Pits,Pit Works,,Pit Install / Supply,each,Materials,4,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r378 @ 473.68421052631584; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r376 @ 152.63157894736844; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r377 @ 67.36842105263158; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r374 @ 47.36842105263158,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,378,473.6842105263158,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit over existing plant | p2,Pits,Pit over Existing Plant,over-existing,Pit Install,each,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r74 @ 421.308; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r77 @ 351.09; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r77 @ 333.54,NBN quote Master .xlsx,Sheet1,74,421.308,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit over existing plant | p5,Pits,Pit over Existing Plant,over-existing,Pit Install,each,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r76 @ 749.808; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r79 @ 624.84; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r79 @ 593.6,NBN quote Master .xlsx,Sheet1,76,749.808,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Pit over existing plant | p6,Pits,Pit over Existing Plant,over-existing,Pit Install,each,Provisional Sums,6,NBN quote Master .xlsx::Sheet1::r80 @ 1735.6164; NBN quote Master .xlsx::Sheet1::r79 @ 1703.844; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r83 @ 1446.347; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r82 @ 1419.87; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r83 @ 1374.03; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r82 @ 1348.8750000000002,NBN quote Master .xlsx,Sheet1,80,1735.6164,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Plant (site preparation),Preliminaries and Controls,Site preparation plant,,Plant,site,Plant,1,AARNet Pricebook.xlsx::AARnet Ratecard::r8 @ 4690.0,AARNet Pricebook.xlsx,AARnet Ratecard,8,4690,single candidate,Inferred
Power viability audit,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r11 @ 4000.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,11,4000,single candidate,Confirmed
Preliminary construction survey,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r11 @ 1050.0,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,11,1050,single candidate,Confirmed
Proof roll subgrade,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Provisional Sums,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r28 @ 33.81176410915703,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,28,33.81176410915703,single candidate,Confirmed
Protection posts,Fencing and Access Control,Fencing and Gates,,Fence / Gate,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r380 @ 789.4736842105264,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,380,789.4736842105264,single candidate,Confirmed
Reinforced concrete cover replacement,Pits,Pit Works,,Pit Install / Supply,each,Materials,3,NBN quote Master .xlsx::Sheet1::r99 @ 161.07; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r102 @ 134.225; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r102 @ 127.512,NBN quote Master .xlsx,Sheet1,99,161.07,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Remove existing soil and green waste,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Disposal,1,AARNet Pricebook.xlsx::AARnet Ratecard::r3 @ 65.65,AARNet Pricebook.xlsx,AARnet Ratecard,3,65.65,single candidate,Confirmed
Reo cage steelwork,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,pier,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r11 @ 334.38,AARNet Pricebook.xlsx,AARnet Ratecard,11,334.38,single candidate,Confirmed
Retaining wall 200mm blockwork,Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r41 @ 282.89473684210526,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,41,282.8947368421053,single candidate,Confirmed
Retaining wall concrete 200-1000,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r43 @ 416.6315789473685,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,43,416.6315789473685,single candidate,Confirmed
Retaining wall concrete 200-1000,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r42 @ 347.3684210526316,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,42,347.3684210526316,single candidate,Confirmed
Retaining wall concrete >1000,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,3,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r49 @ 525.0; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r48 @ 494.7368421052632; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r47 @ 457.89473684210526,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,49,525,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Retaining wall timber 200-1000,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,3,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r46 @ 447.3684210526316; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r45 @ 418.42105263157896; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r44 @ 373.6842105263158,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,46,447.3684210526316,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Retaining wall timber >1000,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,3,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r52 @ 556.421052631579; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r51 @ 516.3157894736843; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r50 @ 493.00000000000006,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,52,556.421052631579,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Rock disposal only,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Disposal,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r27 @ 100.875612911846,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,27,100.875612911846,single candidate,Confirmed
Rooftop plinth footings,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,4 plinths,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r43 @ 3887.3759746311007; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r11 @ 3239.479978859251; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r11 @ 3239.479978859251,NBN quote Master .xlsx,Sheet1,43,3887.375974631101,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Rubble trap / mud grid,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,site,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r80 @ 3628.947368421053,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,80,3628.947368421053,single candidate,Confirmed
Sand blinding,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Materials,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r57 @ 208.94736842105263,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,57,208.9473684210526,single candidate,Confirmed
Sediment fence,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,m,Overlays,4,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r119 @ 239.68421052631572; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r77 @ 208.42105263157896; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r117 @ 139.21052631578945; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r75 @ 121.05263157894736,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,119,239.6842105263157,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Service location services | hr,Proving and Brownfield Controls,Service Proving,,Proving / Locate,hr,Specialist Subcontract,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r187 @ 378.9473684210527; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r190 @ 208.97832817337465,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,187,378.9473684210527,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Service location services | l,Proving and Brownfield Controls,Service Proving,,Proving / Locate,l,Specialist Subcontract,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r192 @ 3.789473684210527,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,192,3.789473684210527,single candidate,Inferred
Service location services | per day,Proving and Brownfield Controls,Service Proving,,Proving / Locate,day,Specialist Subcontract,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r191 @ 3098.947368421053; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r188 @ 3031.5789473684213,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,191,3098.947368421053,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Service location services | site,Proving and Brownfield Controls,Service Proving,,Proving / Locate,site,Specialist Subcontract,1,AARNet Pricebook.xlsx::AARnet Ratecard::r7 @ 1320.0,AARNet Pricebook.xlsx,AARnet Ratecard,7,1320,single candidate,Confirmed
Shelter foundation 2 strip footings,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,2 footings,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r42 @ 5764.00027619348; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r10 @ 4803.333563494567; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r10 @ 4574.603393804348,NBN quote Master .xlsx,Sheet1,42,5764.00027619348,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Shelter foundation 4 concrete pier footings up to 2.0m3,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,each,Provisional Sums,1,NBN quote Master .xlsx::Sheet1::r40 @ 4319.603670346651,NBN quote Master .xlsx,Sheet1,40,4319.603670346651,single candidate,Confirmed
Shelter foundation slab up to 2.8m3,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,each,Provisional Sums,1,NBN quote Master .xlsx::Sheet1::r38 @ 6405.549918668855,NBN quote Master .xlsx,Sheet1,38,6405.549918668855,single candidate,Confirmed
Shoring of excavations,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m,Provisional Sums,2,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r30 @ 110.99; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r29 @ 45.409,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,30,110.99,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Shoring of excavations,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r14 @ 292.63157894736844,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,14,292.6315789473684,single candidate,Confirmed
Single vehicular crossway | rock,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r34 @ 6406.084210526316,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,34,6406.084210526316,single candidate,Confirmed
Single vehicular crossway | shale,Drainage and Minor Civil Structures,Minor Civil Structure,shale,Minor Civils,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r32 @ 5953.1578947368425,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,32,5953.157894736843,single candidate,Confirmed
Single vehicular crossway | soil,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r31 @ 5133.684210526316,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,31,5133.684210526316,single candidate,Confirmed
Site inductions / tickets,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,person,Preliminaries,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r12 @ 373.75; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r10 @ 325.0,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,12,373.75,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Site quotation inspection,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r4 @ 2631.5789473684213,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,4,2631.578947368421,single candidate,Confirmed
Site setout / identification survey,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r8 @ 4830.0; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r6 @ 4200.0,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,8,4830,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Site signage,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,each,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r59 @ 960.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,59,960,single candidate,Confirmed
Site signage,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,sign,Overlays,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r81 @ 59.49999999999999,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,81,59.49999999999999,single candidate,Confirmed
Solar C-post concrete,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r37 @ 393.56,AARNet Pricebook.xlsx,AARnet Ratecard,37,393.56,single candidate,Inferred
Spoil removal,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Disposal,1,NBN quote Master .xlsx::Sheet1::r57 @ 50.0,NBN quote Master .xlsx,Sheet1,57,50,single candidate,Confirmed
Spoil removal,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Disposal,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r33 @ 305.2631578947369,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,33,305.2631578947369,single candidate,Confirmed
Standard kerb and gutter | rock,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r27 @ 313.6842105263158,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,27,313.6842105263158,single candidate,Confirmed
Standard kerb and gutter | shale,Drainage and Minor Civil Structures,Minor Civil Structure,shale,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r26 @ 278.94736842105266,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,26,278.9473684210527,single candidate,Confirmed
Standard kerb and gutter | soil,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r25 @ 251.31578947368425,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,25,251.3157894736842,single candidate,Confirmed
Stock fence gate double,Fencing and Access Control,Fencing and Gates,,Fence / Gate,each,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r69 @ 3134.736842105264,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,69,3134.736842105264,single candidate,Confirmed
Stock fence gate single,Fencing and Access Control,Fencing and Gates,,Fence / Gate,,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r70 @ 2263.157894736842,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,70,2263.157894736842,single candidate,Confirmed
Stock fencing,Fencing and Access Control,Fencing and Gates,,Fence / Gate,m,Provisional Sums,4,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r68 @ 342.63157894736844; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r113 @ 248.1578947368421; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r71 @ 215.7894736842105; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r83 @ 158.13,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,68,342.6315789473684,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Strip vegetation and topsoil,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Provisional Sums,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r25 @ 27.96175069792952,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,25,27.96175069792952,single candidate,Confirmed
Sub-soil drains | soil,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,m,Provisional Sums,3,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r83 @ 248.42105263157896; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r82 @ 196.8421052631579; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r81 @ 178.94736842105263,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,83,248.421052631579,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Supervision and site project management,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r12 @ 1850.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,12,1850,single candidate,Confirmed
Supply and fix reinforcing steel,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,t,Materials,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r87 @ 4157.894736842106,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,87,4157.894736842106,single candidate,Confirmed
