work_category,scope_item,delivery_method,cost_component,rate_group,cluster,unit_normalized,retained_rate,retained_workbook,retained_sheet,retained_row,mapping_confidence
Earthworks and Reinstatement,Service Route Trenching,otr,Trenching,Provisional Sums,Trenching | p100 | otr | standard,m,112,NBN quote Master .xlsx,Sheet1,71,Confirmed
Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,Provisional Sums,Trenching | p100 | rock | standard,m,782.8070175438596,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,490,Confirmed
Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,Provisional Sums,Trenching | p100 | shale | standard,m,629.4736842105262,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,489,Confirmed
Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,Provisional Sums,Trenching | p100 | soil | standard,m,484.2105263157895,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,488,Confirmed
Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,Provisional Sums,Trenching | p63 & p100 | rock | standard,m,680.7017543859649,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,338,Confirmed
Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,Provisional Sums,Trenching | p63 & p100 | shale | standard,m,547.3684210526316,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,337,Confirmed
Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,Provisional Sums,Trenching | p63 & p100 | soil | standard,m,421.0526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,336,Confirmed
Earthworks and Reinstatement,Service Route Trenching,rock,Trenching,Provisional Sums,Trenching | p63 | rock | standard,m,302.6315789473684,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,470,Confirmed
Earthworks and Reinstatement,Service Route Trenching,shale,Trenching,Provisional Sums,Trenching | p63 | shale | standard,m,236.9,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,469,Confirmed
Earthworks and Reinstatement,Service Route Trenching,soil,Trenching,Provisional Sums,Trenching | p63 | soil | standard,m,213.9,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,468,Confirmed
Pits,Pit Works,,Pit Install / Supply,Provisional Sums,Underground feeder pit,each,2635.2,NBN quote Master .xlsx,Sheet1,81,Inferred
Proving and Brownfield Controls,Service Proving,,Proving / Locate,Specialist Subcontract,Underground service search intrusive potholing,each,155.38,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,13,Confirmed
Proving and Brownfield Controls,Service Proving,,Proving / Locate,Specialist Subcontract,Underground service search non-intrusive,site,1088.194470755558,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,12,Confirmed
Fencing and Access Control,Fencing and Gates,,Fence / Gate,Provisional Sums,Vehicular access gate install,each,4452.631578947368,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,65,Confirmed
Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,Preliminaries,Waste bin / rubbish support,site,1457.894736842105,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,9,Confirmed
Earthworks and Reinstatement,Earthworks Core,,Earthworks,Materials,Weed matting / separator,m2,119.5394736842105,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,103,Inferred
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,daily generator hire - after hours - metro,,180,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,17,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,daily generator hire - after hours regional,,180,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,33,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,daily generator hire - business hours - metro,,180,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,10,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,daily generator hire - business hours - regional,,180,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,25,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,daily generator hire -after hours - metro,,757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,19,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,deployment cost after hours hours metro,,195,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,14,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,deployment cost after hours regional,,195,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,29,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,deployment cost business hours metro,,150,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,7,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,deployment cost business hours regional,,150,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,21,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,extra hours cost p/h,,195,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,16,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Materials,fuel cost per litre,,3.65,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,5,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,generator plug & transfer switch - install additional generator switch and socket on meter box. ref std-761,each,991.5832227747889,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,262,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,generator plug & transfer switch,each,5789.473684210527,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,320,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,minimum hours in deployment,,,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,8,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,mobilisation to site - outside 100km metro zone.,,4.77,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,31,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,weekly generator hire - after hours regional,,757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,35,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,weekly generator hire - business hours - metro,,725,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,12,Confirmed
Temporary Power and Generator Support,Generator Support,,Generator Support,Plant,weekly generator hire - business hours - regional,,757.5,Generator Maryborough LCR Victrack Per Refuel 3-2026.xlsx,Sheet1,27,Confirmed
